Year,City,Sport,Discipline,Athlete,Country,Gender,Event,Medal
2004,Athens,Aquatics,Diving,"TIAN, Liang",CHN,Men,10M Platform,Bronze
2004,Athens,Aquatics,Diving,"HU, Jia",CHN,Men,10M Platform,Gold
2004,Athens,Aquatics,Diving,"HELM, Mathew",AUS,Men,10M Platform,Silver
2004,Athens,Aquatics,Diving,"TOURKY, Loudy",AUS,Women,10M Platform,Bronze
2004,Athens,Aquatics,Diving,"NEWBERY, Chantelle",AUS,Women,10M Platform,Gold
2004,Athens,Aquatics,Diving,"LAO, Lishi",CHN,Women,10M Platform,Silver
2004,Athens,Aquatics,Diving,"SAUTIN, Dmitry",RUS,Men,3M Springboard,Bronze
2004,Athens,Aquatics,Diving,"PENG, Bo",CHN,Men,3M Springboard,Gold
2004,Athens,Aquatics,Diving,"DESPATIE, Alexandre",CAN,Men,3M Springboard,Silver
2004,Athens,Aquatics,Diving,"PAKHALINA, Ioulia",RUS,Women,3M Springboard,Bronze
2004,Athens,Aquatics,Diving,"GUO, Jingjing",CHN,Women,3M Springboard,Gold
2004,Athens,Aquatics,Diving,"WU, Minxia",CHN,Women,3M Springboard,Silver
2004,Athens,Aquatics,Diving,"HELM, Mathew",AUS,Men,Synchronized Diving 10M Platform,Bronze
2004,Athens,Aquatics,Diving,"NEWBERY, Robert",AUS,Men,Synchronized Diving 10M Platform,Bronze
2004,Athens,Aquatics,Diving,"TIAN, Liang",CHN,Men,Synchronized Diving 10M Platform,Gold
2004,Athens,Aquatics,Diving,"YANG, Jinghui",CHN,Men,Synchronized Diving 10M Platform,Gold
2004,Athens,Aquatics,Diving,"TAYLOR, Leon",GBR,Men,Synchronized Diving 10M Platform,Silver
2004,Athens,Aquatics,Diving,"WATERFIELD, Peter",GBR,Men,Synchronized Diving 10M Platform,Silver
2004,Athens,Aquatics,Diving,"HARTLEY, Blythe",CAN,Women,Synchronized Diving 10M Platform,Bronze
2004,Athens,Aquatics,Diving,"HEYMANS, Emilie",CAN,Women,Synchronized Diving 10M Platform,Bronze
2004,Athens,Aquatics,Diving,"LAO, Lishi",CHN,Women,Synchronized Diving 10M Platform,Gold
2004,Athens,Aquatics,Diving,"LI, Ting",CHN,Women,Synchronized Diving 10M Platform,Gold
2004,Athens,Aquatics,Diving,"GONCHAROVA, Natalia",RUS,Women,Synchronized Diving 10M Platform,Silver
2004,Athens,Aquatics,Diving,"KOLTUNOVA, Yulia",RUS,Women,Synchronized Diving 10M Platform,Silver
2004,Athens,Aquatics,Diving,"BARNETT, Steven",AUS,Men,Synchronized Diving 3M Springboard,Bronze
2004,Athens,Aquatics,Diving,"NEWBERY, Robert",AUS,Men,Synchronized Diving 3M Springboard,Bronze
2004,Athens,Aquatics,Diving,"BIMIS, Thomas",GRE,Men,Synchronized Diving 3M Springboard,Gold
2004,Athens,Aquatics,Diving,"SIRANIDIS, Nikolaos",GRE,Men,Synchronized Diving 3M Springboard,Gold
2004,Athens,Aquatics,Diving,"SCHELLENBERG, Tobias",GER,Men,Synchronized Diving 3M Springboard,Silver
2004,Athens,Aquatics,Diving,"WELS, Andreas",GER,Men,Synchronized Diving 3M Springboard,Silver
2004,Athens,Aquatics,Diving,"LASHKO, Irina",AUS,Women,Synchronized Diving 3M Springboard,Bronze
